Row ID,Order ID,Order Date,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit,Year,Month,Day of Week,Month Name,OID_Number,Profit Margin (%),Avg Price,Discount Level,Profit Category
14,AMER-2022-161389,2022-12-06,Canada,Toronto,AMER,NAMER,Microsoft,1066,Tech,SMB,ContactMatcher,COK66F8IC1,407.976,3,0.2,132.5922,2022,12,Tuesday,December,161389,32.49999999999999,135.992,Low (0–20%),Profit
15,APJ-2021-118983,2021-11-22,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,ENTERPRISE,OneView,D8FGC56NNX,68.81,5,0.8,-123.858,2021,11,Monday,November,118983,-180.0,13.762,High (>30%),Loss
16,APJ-2021-118983,2021-11-22,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,ENTERPRISE,ContactMatcher,NRKT5R1A1G,2.544,3,0.8,-3.816,2021,11,Monday,November,118983,-150.0,0.848,High (>30%),Loss
17,EMEA-2020-105893,2020-11-11,Italy,Naples,EMEA,EU,Toyota Motor,1087,Manufacturing,SMB,Marketing Suite - Gold,K5XHYWZ1OV,665.88,6,0.0,13.3176,2020,11,Wednesday,November,105893,2.0,110.98,No Discount,Profit
18,EMEA-2020-167164,2020-05-13,Turkey,Ankara,EMEA,MEA,Home Depot,1047,Retail,SMB,Marketing Suite - Gold,LWWKLPY4AU,55.5,2,0.0,9.99,2020,5,Wednesday,May,167164,18.0,27.75,No Discount,Profit
19,AMER-2020-143336,2020-08-27,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,ChatBot Plugin,ZYL9KDTY68,8.56,2,0.0,2.4824,2020,8,Thursday,August,143336,28.999999999999996,4.28,No Discount,Profit
20,AMER-2020-143336,2020-08-27,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,Site Analytics,I54O29EW1T,213.48,3,0.2,16.011,2020,8,Thursday,August,143336,7.5,71.16,Low (0–20%),Profit
21,AMER-2020-143336,2020-08-27,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,ContactMatcher,E3TF1V9DE8,22.72,4,0.2,7.384,2020,8,Thursday,August,143336,32.5,5.68,Low (0–20%),Profit
22,AMER-2022-137330,2022-12-10,Costa Rica,San José,AMER,LATAM,Carrefour,1048,Retail,STRATEGIC,ChatBot Plugin,B83G92QX65,19.46,7,0.0,5.0596,2022,12,Saturday,December,137330,25.999999999999996,2.7800000000000002,No Discount,Profit
23,AMER-2022-137330,2022-12-10,Costa Rica,San José,AMER,LATAM,Carrefour,1048,Retail,STRATEGIC,OneView,VWDIYAB44Z,60.34,7,0.0,15.6884,2022,12,Saturday,December,137330,25.999999999999996,8.620000000000001,No Discount,Profit
24,EMEA-2023-156909,2023-07-17,France,Paris,EMEA,EU-WEST,Costco Wholesale,1025,Retail,SMB,FinanceHub,AJOASBK55N,71.372,2,0.3,-1.0196,2023,7,Monday,July,156909,-1.4285714285714286,35.686,Medium (20–30%),Loss
25,EMEA-2021-106320,2021-09-25,Turkey,Istanbul,EMEA,MEA,Mckesson,1063,Consumer Products,SMB,ContactMatcher,P1I8X35CUZ,1044.63,3,0.0,240.2649,2021,9,Saturday,September,106320,23.0,348.21000000000004,No Discount,Profit
26,AMER-2022-121755,2022-01-16,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,ContactMatcher,NRCR8EBL62,11.648,2,0.2,4.2224,2022,1,Sunday,January,121755,36.25000000000001,5.824,Low (0–20%),Profit
27,AMER-2022-121755,2022-01-16,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,Data Smasher,PV9U9D3A6O,90.57,3,0.0,11.7741,2022,1,Sunday,January,121755,13.0,30.189999999999998,No Discount,Profit
28,EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,Marketing Suite,F8G07TWQ17,3083.43,7,0.5,-1665.0522,2021,9,Friday,September,150630,-54.0,440.48999999999995,High (>30%),Loss
29,EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,BGL4P1U2CZ,9.618,2,0.7,-7.0532,2021,9,Friday,September,150630,-73.33333333333334,4.809,High (>30%),Loss
30,EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack,B5H6S070N8,124.2,3,0.2,15.525,2021,9,Friday,September,150630,12.5,41.4,Low (0–20%),Profit
31,EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack - Gold,D9635UBJOG,3.264,2,0.2,1.1016,2021,9,Friday,September,150630,33.75,1.632,Low (0–20%),Profit
32,EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,6SQI2HAZ4C,86.304,6,0.2,9.7092,2021,9,Friday,September,150630,11.249999999999998,14.384,Low (0–20%),Profit
33,EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,GPQ0TDTGIM,6.858,6,0.7,-5.715,2021,9,Friday,September,150630,-83.33333333333334,1.143,High (>30%),Loss
34,EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,4YZZHFC212,15.76,2,0.2,3.546,2021,9,Friday,September,150630,22.499999999999996,7.88,Low (0–20%),Profit
35,APJ-2023-107727,2023-10-20,Japan,Tokyo,APJ,JAPN,Glencore,1083,Misc,ENTERPRISE,Support,77YXBOVGDH,29.472,3,0.2,9.9468,2023,10,Friday,October,107727,33.75,9.824,Low (0–20%),Profit
36,APJ-2022-117590,2022-12-09,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,STRATEGIC,Site Analytics,GCT4GPUBVT,1097.544,7,0.2,123.4737,2022,12,Friday,December,117590,11.249999999999998,156.792,Low (0–20%),Profit
37,APJ-2022-117590,2022-12-09,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,STRATEGIC,SaaS Connector Pack,TKN9K1JO1D,190.92,5,0.6,-147.963,2022,12,Friday,December,117590,-77.5,38.184,High (>30%),Loss
38,APJ-2021-117415,2021-12-27,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,ENTERPRISE,SaaS Connector Pack - Gold,2F0NIUM5X9,113.328,9,0.2,35.415,2021,12,Monday,December,117415,31.25,12.592,Low (0–20%),Profit
39,APJ-2021-117415,2021-12-27,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,ENTERPRISE,Marketing Suite,FBXEM82WEZ,532.3992,3,0.32,-46.9764,2021,12,Monday,December,117415,-8.823529411764707,177.4664,High (>30%),Loss
40,APJ-2021-117415,2021-12-27,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,ENTERPRISE,FinanceHub,TS9MS0FQVU,212.058,3,0.3,-15.147,2021,12,Monday,December,117415,-7.142857142857144,70.68599999999999,Medium (20–30%),Loss
41,APJ-2021-117415,2021-12-27,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,ENTERPRISE,Site Analytics,HDJMRDRWK6,371.168,4,0.2,41.7564,2021,12,Monday,December,117415,11.25,92.792,Low (0–20%),Profit
42,APJ-2023-120999,2023-09-11,Australia,Wollongong,APJ,ANZ,Pemex,1058,Energy,STRATEGIC,Site Analytics,QINRKET2EK,147.168,4,0.2,16.5564,2023,9,Monday,September,120999,11.249999999999998,36.792,Low (0–20%),Profit
43,AMER-2022-101343,2022-07-18,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,STRATEGIC,Marketing Suite - Gold,DFHNNSTX0P,77.88,2,0.0,3.894,2022,7,Monday,July,101343,5.0,38.94,No Discount,Profit
44,EMEA-2023-139619,2023-09-20,Germany,Hanover,EMEA,EU-WEST,Samsung Electronics,1015,Tech,STRATEGIC,Marketing Suite - Gold,616XTGD7Y3,95.616,2,0.2,9.5616,2023,9,Wednesday,September,139619,10.0,47.808,Low (0–20%),Profit
45,EMEA-2022-118255,2022-03-12,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,STRATEGIC,Data Smasher,F4GWWGL9KR,45.98,2,0.0,19.7714,2022,3,Saturday,March,118255,43.00000000000001,22.99,No Discount,Profit
46,EMEA-2022-118255,2022-03-12,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,STRATEGIC,ContactMatcher,JFCUNTQD5P,17.46,2,0.0,8.2062,2022,3,Saturday,March,118255,47.0,8.73,No Discount,Profit
47,AMER-2020-146703,2020-10-20,Brazil,Salvador,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,Marketing Suite - Gold,S2GUIRDRRI,211.96,4,0.0,8.4784,2020,10,Tuesday,October,146703,4.0,52.99,No Discount,Profit
48,APJ-2022-169194,2022-06-21,Philippines,Davao City,APJ,APAC,Bank Of America Corp.,1011,Finance,SMB,Data Smasher,2L5WUVH1UW,45.0,3,0.0,4.95,2022,6,Tuesday,June,169194,11.0,15.0,No Discount,Profit
49,APJ-2022-169194,2022-06-21,Philippines,Davao City,APJ,APAC,Bank Of America Corp.,1011,Finance,SMB,Site Analytics,O0QZ4DQ2DW,21.8,2,0.0,6.104,2022,6,Tuesday,June,169194,27.999999999999996,10.9,No Discount,Profit
50,APJ-2021-115742,2021-04-18,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,ContactMatcher,4A8Q6U643K,38.22,6,0.0,17.9634,2021,4,Sunday,April,115742,47.0,6.37,No Discount,Profit
51,APJ-2021-115742,2021-04-18,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,N3660I16OB,75.18,6,0.0,35.3346,2021,4,Sunday,April,115742,47.0,12.530000000000001,No Discount,Profit
52,APJ-2021-115742,2021-04-18,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,SaaS Connector Pack,DU3DC8HDNW,6.16,2,0.0,2.9568,2021,4,Sunday,April,115742,48.0,3.08,No Discount,Profit
53,APJ-2021-115742,2021-04-18,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,SCMV1FUA1Z,89.99,1,0.0,17.0981,2021,4,Sunday,April,115742,19.0,89.99,No Discount,Profit
54,EMEA-2022-105816,2022-12-12,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,STRATEGIC,Storage,5JTHBK78DZ,15.26,7,0.0,6.2566,2022,12,Monday,December,105816,41.0,2.18,No Discount,Profit
55,EMEA-2022-105816,2022-12-12,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,STRATEGIC,Site Analytics,JPNWB3X2PG,1029.95,5,0.0,298.6855,2022,12,Monday,December,105816,28.999999999999996,205.99,No Discount,Profit
56,EMEA-2022-111682,2022-06-18,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Marketing Suite - Gold,RI8MDZ0Y3A,208.56,6,0.0,52.14,2022,6,Saturday,June,111682,25.0,34.76,No Discount,Profit
57,EMEA-2022-111682,2022-06-18,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,TA8D5XDFPN,32.4,5,0.0,15.552,2022,6,Saturday,June,111682,48.0,6.4799999999999995,No Discount,Profit
58,EMEA-2022-111682,2022-06-18,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,FinanceHub,9QD1V31VWF,319.41,5,0.1,7.098,2022,6,Saturday,June,111682,2.222222222222222,63.882000000000005,Low (0–20%),Profit
59,EMEA-2022-111682,2022-06-18,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,NKEOT3DP5L,14.56,2,0.0,6.9888,2022,6,Saturday,June,111682,48.0,7.28,No Discount,Profit
60,EMEA-2022-111682,2022-06-18,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Data Smasher,I8M069JA80,30.0,2,0.0,3.3,2022,6,Saturday,June,111682,11.0,15.0,No Discount,Profit
61,EMEA-2022-111682,2022-06-18,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ContactMatcher,3N1DY2AIMD,48.48,4,0.2,16.362,2022,6,Saturday,June,111682,33.75,12.12,Low (0–20%),Profit
62,EMEA-2022-111682,2022-06-18,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ChatBot Plugin,MBZM7LCSK4,1.68,1,0.0,0.84,2022,6,Saturday,June,111682,50.0,1.68,No Discount,Profit
63,AMER-2021-135545,2021-11-24,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Data Smasher,LMJYGCZAFV,13.98,2,0.0,6.1512,2021,11,Wednesday,November,135545,44.0,6.99,No Discount,Profit
64,AMER-2021-135545,2021-11-24,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,ContactMatcher,MVEQDJNPR2,25.824,6,0.2,9.3612,2021,11,Wednesday,November,135545,36.25,4.304,Low (0–20%),Profit
65,AMER-2021-135545,2021-11-24,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Support,OLS0NNZ15B,146.73,3,0.0,68.9631,2021,11,Wednesday,November,135545,47.0,48.91,No Discount,Profit
66,AMER-2021-135545,2021-11-24,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,SaaS Connector Pack,84GUTTZTC0,79.76,4,0.0,22.3328,2021,11,Wednesday,November,135545,27.999999999999996,19.94,No Discount,Profit
67,APJ-2021-164175,2021-04-30,Australia,Sydney,APJ,ANZ,Abbott Laboratories,1001,Healthcare,ENTERPRISE,FinanceHub,6QHQUNX985,213.115,5,0.3,-15.2225,2021,4,Friday,April,164175,-7.142857142857142,42.623000000000005,Medium (20–30%),Loss
68,AMER-2020-106376,2020-12-05,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,STRATEGIC,ChatBot Plugin,91D0JN8T6U,1113.024,8,0.2,111.3024,2020,12,Saturday,December,106376,10.000000000000002,139.128,Low (0–20%),Profit
69,AMER-2020-106376,2020-12-05,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,STRATEGIC,Site Analytics,6NQZXRTE33,167.968,4,0.2,62.988,2020,12,Saturday,December,106376,37.5,41.992,Low (0–20%),Profit
70,EMEA-2022-119823,2022-06-05,Spain,Madrid,EMEA,EU-WEST,Fannie Mae,1035,Finance,SMB,Support,JH2K4261IC,75.88,2,0.0,35.6636,2022,6,Sunday,June,119823,47.00000000000001,37.94,No Discount,Profit
71,EMEA-2022-106075,2022-09-19,United Kingdom,London,EMEA,UKIR,Aetna,1002,Healthcare,SMB,ContactMatcher,5MAZAYKQ5U,4.616,1,0.2,1.731,2022,9,Monday,September,106075,37.50000000000001,4.616,Low (0–20%),Profit
72,AMER-2023-114440,2023-09-15,Brazil,Rio De Janeiro,AMER,LATAM,Intel,1051,Tech,SMB,Support,K4O1D2NXHZ,19.05,3,0.0,8.763,2023,9,Friday,September,114440,46.0,6.3500000000000005,No Discount,Profit
73,EMEA-2021-134026,2021-04-26,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,FinanceHub,NPQNQFYUUU,831.936,8,0.2,-114.3912,2021,4,Monday,April,134026,-13.749999999999998,103.992,Low (0–20%),Loss
74,EMEA-2021-134026,2021-04-26,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,SaaS Connector Pack,D0Z9FZR0JL,97.04,2,0.2,1.213,2021,4,Monday,April,134026,1.25,48.52,Low (0–20%),Profit
75,EMEA-2021-134026,2021-04-26,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,Marketing Suite - Gold,X15ND79M8Q,72.784,1,0.2,-18.196,2021,4,Monday,April,134026,-25.0,72.784,Low (0–20%),Loss
76,APJ-2023-118038,2023-12-10,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,STRATEGIC,ContactMatcher,A4VC3VGTLE,1.248,3,0.8,-1.9344,2023,12,Sunday,December,118038,-154.99999999999997,0.416,High (>30%),Loss
77,APJ-2023-118038,2023-12-10,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,STRATEGIC,SaaS Connector Pack,IR30G9I4WJ,9.708,3,0.6,-5.8248,2023,12,Sunday,December,118038,-60.0,3.236,High (>30%),Loss
78,APJ-2023-118038,2023-12-10,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,STRATEGIC,Marketing Suite - Gold,PGTVTGM7XI,27.24,3,0.2,2.724,2023,12,Sunday,December,118038,10.000000000000002,9.08,Low (0–20%),Profit
79,APJ-2020-147606,2020-11-26,Japan,Tokyo,APJ,JAPN,Oracle,1072,Tech,SMB,SaaS Connector Pack,JQHP8C8VXP,19.3,5,0.6,-14.475,2020,11,Thursday,November,147606,-75.0,3.8600000000000003,High (>30%),Loss
80,EMEA-2022-127208,2022-06-13,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,STRATEGIC,OneView,1I3JIURUQR,208.16,1,0.0,56.2032,2022,6,Monday,June,127208,27.0,208.16,No Discount,Profit
81,EMEA-2022-127208,2022-06-13,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,STRATEGIC,ContactMatcher,0UHOHNAAAD,16.74,3,0.0,8.0352,2022,6,Monday,June,127208,48.00000000000001,5.579999999999999,No Discount,Profit
82,AMER-2020-139451,2020-10-12,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,ChatBot Plugin,920M0N09EE,14.9,5,0.0,4.172,2020,10,Monday,October,139451,27.999999999999996,2.98,No Discount,Profit
83,AMER-2020-139451,2020-10-12,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,Marketing Suite - Gold,9SVF10L0F3,21.39,1,0.0,6.2031,2020,10,Monday,October,139451,28.999999999999996,21.39,No Discount,Profit
84,EMEA-2021-149734,2021-09-03,Sweden,Uppsala,EMEA,NOR,Itochu,1032,Finance,STRATEGIC,SaaS Connector Pack - Gold,CFUHIDO1WY,200.984,7,0.2,62.8075,2021,9,Friday,September,149734,31.25,28.712,Low (0–20%),Profit
85,APJ-2023-119662,2023-11-14,Australia,Sydney,APJ,ANZ,Royal Dutch Shell,1031,Energy,ENTERPRISE,Marketing Suite - Gold,CUL2MB77E0,230.376,3,0.2,-48.9549,2023,11,Tuesday,November,119662,-21.25,76.792,Low (0–20%),Loss
86,AMER-2023-140088,2023-05-29,Colombia,Bogotá,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,FinanceHub,RBNGNEEYS9,301.96,2,0.0,33.2156,2023,5,Monday,May,140088,11.000000000000002,150.98,No Discount,Profit
87,EMEA-2023-155558,2023-10-27,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,Data Smasher,W731G6G61K,19.99,1,0.0,6.7966,2023,10,Friday,October,155558,34.0,19.99,No Discount,Profit
88,EMEA-2023-155558,2023-10-27,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,FinanceHub,A3HQUY156G,6.16,2,0.0,2.9568,2023,10,Friday,October,155558,48.0,3.08,No Discount,Profit
89,APJ-2022-159695,2022-04-06,Japan,Tokyo,APJ,JAPN,Fannie Mae,1035,Finance,ENTERPRISE,Marketing Suite - Gold,45JXXNYX5W,158.368,7,0.2,13.8572,2022,4,Wednesday,April,159695,8.75,22.624,Low (0–20%),Profit
90,AMER-2022-109806,2022-09-18,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,STRATEGIC,ChatBot Plugin,AX50KL6AG9,20.1,3,0.0,6.633,2022,9,Sunday,September,109806,32.99999999999999,6.7,No Discount,Profit
91,AMER-2022-109806,2022-09-18,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,STRATEGIC,Site Analytics,S4CEY2GSVW,73.584,2,0.2,8.2782,2022,9,Sunday,September,109806,11.249999999999998,36.792,Low (0–20%),Profit
92,AMER-2022-109806,2022-09-18,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,STRATEGIC,Support,V86OBN8J1U,6.48,1,0.0,3.1104,2022,9,Sunday,September,109806,47.99999999999999,6.48,No Discount,Profit
93,EMEA-2021-149587,2021-01-31,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,Support,XJEFE2O3YF,12.96,2,0.0,6.2208,2021,1,Sunday,January,149587,47.99999999999999,6.48,No Discount,Profit
94,EMEA-2021-149587,2021-01-31,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,SaaS Connector Pack,5XEHT10HDW,53.34,3,0.0,16.5354,2021,1,Sunday,January,149587,30.999999999999993,17.78,No Discount,Profit
95,EMEA-2021-149587,2021-01-31,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,ContactMatcher,U40N63E6AK,32.96,2,0.0,16.1504,2021,1,Sunday,January,149587,49.00000000000001,16.48,No Discount,Profit
96,EMEA-2023-109484,2023-11-07,Belgium,Brussels,EMEA,EU-WEST,Walgreens,1095,Retail,ENTERPRISE,ContactMatcher,VK1TWXDWUR,5.682,1,0.7,-3.788,2023,11,Tuesday,November,109484,-66.66666666666666,5.682,High (>30%),Loss
97,EMEA-2023-161018,2023-11-10,United Kingdom,London,EMEA,UKIR,Boeing,1014,Manufacturing,ENTERPRISE,SaaS Connector Pack,UFEXZDF5TK,96.53,7,0.0,40.5426,2023,11,Friday,November,161018,42.0,13.790000000000001,No Discount,Profit
98,AMER-2023-157833,2023-06-18,United States,Los Angeles,AMER,NAMER,Valero Energy,1093,Energy,SMB,ContactMatcher,GJFN2RJA9U,51.312,3,0.2,17.9592,2023,6,Sunday,June,157833,35.0,17.104,Low (0–20%),Profit
99,EMEA-2022-149223,2022-09-07,Luxembourg,Luxembourg,EMEA,EU-WEST,Nestle,1089,Consumer Products,STRATEGIC,OneView,PFLFDN3SOU,77.88,6,0.0,22.5852,2022,9,Wednesday,September,149223,29.000000000000004,12.979999999999999,No Discount,Profit
100,APJ-2022-158568,2022-08-30,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,ENTERPRISE,Support,2CWM52X1X9,64.624,7,0.2,22.6184,2022,8,Tuesday,August,158568,35.0,9.232,Low (0–20%),Profit
101,APJ-2022-158568,2022-08-30,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,ENTERPRISE,Data Smasher,LW1M6UDC4B,95.976,3,0.2,-10.7973,2022,8,Tuesday,August,158568,-11.25,31.992,Low (0–20%),Loss
102,APJ-2022-158568,2022-08-30,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,ENTERPRISE,ContactMatcher,WCITXGLF0J,1.788,3,0.8,-3.0396,2022,8,Tuesday,August,158568,-170.0,0.596,High (>30%),Loss
103,EMEA-2022-129903,2022-12-02,Luxembourg,Luxembourg,EMEA,EU-WEST,Trafigura Group,1100,Finance,SMB,Support,45EAEXTILE,23.92,4,0.0,11.7208,2022,12,Friday,December,129903,49.0,5.98,No Discount,Profit
104,EMEA-2021-156867,2021-11-13,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,Data Smasher,EV59Z98WXW,238.896,6,0.2,-26.8758,2021,11,Saturday,November,156867,-11.250000000000002,39.815999999999995,Low (0–20%),Loss
105,EMEA-2021-156867,2021-11-13,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,SaaS Connector Pack,YR7I08I1K4,102.36,3,0.2,-3.8385,2021,11,Saturday,November,156867,-3.75,34.12,Low (0–20%),Loss
106,EMEA-2021-156867,2021-11-13,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,ContactMatcher,W01T1PXXK7,36.882,3,0.7,-25.8174,2021,11,Saturday,November,156867,-70.0,12.293999999999999,High (>30%),Loss
107,EMEA-2023-119004,2023-11-24,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,Data Smasher,6D89G3BGGH,74.112,8,0.2,17.6016,2023,11,Friday,November,119004,23.750000000000004,9.264,Low (0–20%),Profit
